step	accuracy
0	0.39047619700431824
1	0.46666666865348816
2	0.46666666865348816
3	0.4761904776096344
4	0.6285714507102966
5	0.6761904954910278
6	0.6952381134033203
7	0.7333333492279053
8	0.7809523940086365
9	0.7428571581840515
10	0.8380952477455139
11	0.8095238208770752
12	0.8095238208770752
13	0.7904762029647827
14	0.8761904835700989
15	0.7904762029647827
16	0.8666666746139526
17	0.8857142925262451
18	0.8380952477455139
19	0.8952381014823914
20	0.7904762029647827
21	0.8095238208770752
22	0.8380952477455139
23	0.8190476298332214
24	0.7714285850524902
25	0.8476190567016602
26	0.8476190567016602
27	0.8952381014823914
28	0.800000011920929
29	0.9047619104385376
